batalla,winrate_vs_heuristics,epsilon
47600,42.0,0.009994107583211972
47800,42.0,0.009994107583211972
48000,34.0,0.009994107583211972
48200,48.0,0.009994107583211972
48400,36.0,0.009994107583211972
48600,32.0,0.009994107583211972
48800,42.0,0.009994107583211972
49000,38.0,0.009994107583211972
49200,52.0,0.009994107583211972
49400,38.0,0.009994107583211972
49600,56.00000000000001,0.009994107583211972
49800,48.0,0.009994107583211972
50000,52.0,0.009994107583211972
50200,48.0,0.009994107583211972
50400,38.0,0.009994107583211972
50600,52.0,0.009994107583211972
50800,48.0,0.009994107583211972
51000,24.0,0.009994107583211972
51200,22.0,0.009994107583211972
51400,38.0,0.009994107583211972
51600,40.0,0.009994107583211972
51800,62.0,0.009994107583211972
52000,46.0,0.009994107583211972
52200,44.0,0.009994107583211972
52400,44.0,0.009994107583211972
52600,56.00000000000001,0.009994107583211972
52800,46.0,0.009994107583211972
53000,42.0,0.009994107583211972
53200,40.0,0.009994107583211972
53400,36.0,0.009994107583211972
53600,54.0,0.009994107583211972
53800,38.0,0.009994107583211972
54000,48.0,0.009994107583211972
54200,40.0,0.009994107583211972
54400,46.0,0.009994107583211972
54600,38.0,0.009994107583211972
54800,44.0,0.009994107583211972
55000,38.0,0.009994107583211972
55200,42.0,0.009994107583211972
55400,56.00000000000001,0.009994107583211972
55600,44.0,0.009994107583211972
55800,44.0,0.009994107583211972
56000,44.0,0.009994107583211972
56200,48.0,0.009994107583211972
56400,50.0,0.009994107583211972
56600,44.0,0.009994107583211972
56800,36.0,0.009994107583211972
57000,34.0,0.009994107583211972
57200,44.0,0.009994107583211972
57400,44.0,0.009994107583211972
57600,38.0,0.009994107583211972
57800,52.0,0.009994107583211972
58000,46.0,0.009994107583211972
58200,42.0,0.009994107583211972
58400,56.00000000000001,0.009994107583211972
58600,38.0,0.009994107583211972
58800,34.0,0.009994107583211972
59000,52.0,0.009994107583211972
59200,38.0,0.009994107583211972
59400,42.0,0.009994107583211972
59600,44.0,0.009994107583211972
59800,34.0,0.009994107583211972
60000,44.0,0.009994107583211972
60200,44.0,0.009994107583211972
60400,48.0,0.009994107583211972
60600,38.0,0.009994107583211972
60800,50.0,0.009994107583211972
61000,36.0,0.009994107583211972
61200,48.0,0.009994107583211972
61400,24.0,0.009994107583211972
61600,48.0,0.009994107583211972
61800,42.0,0.009994107583211972
62000,40.0,0.009994107583211972
62200,54.0,0.009994107583211972
62400,46.0,0.009994107583211972
62600,54.0,0.009994107583211972
62800,42.0,0.009994107583211972
63000,42.0,0.009994107583211972
63200,62.0,0.009994107583211972
63400,36.0,0.009994107583211972
63600,30.0,0.009994107583211972
63800,42.0,0.009994107583211972
64000,50.0,0.009994107583211972
64200,14.000000000000002,0.009994107583211972
64400,24.0,0.009994107583211972
64600,24.0,0.009994107583211972
64800,34.0,0.009994107583211972
65000,24.0,0.009994107583211972
65200,42.0,0.009994107583211972
65400,36.0,0.009994107583211972
65600,40.0,0.009994107583211972
65800,40.0,0.009994107583211972
66000,44.0,0.009994107583211972
66200,34.0,0.009994107583211972
66400,22.0,0.009994107583211972
66600,62.0,0.009994107583211972
66800,48.0,0.009994107583211972
67000,38.0,0.009994107583211972
67200,24.0,0.009994107583211972
67400,52.0,0.009994107583211972
67600,38.0,0.009994107583211972
67800,44.0,0.009994107583211972
68000,32.0,0.009994107583211972
68200,34.0,0.009994107583211972
68400,38.0,0.009994107583211972
68600,40.0,0.009994107583211972
68800,26.0,0.009994107583211972
69000,26.0,0.009994107583211972
69200,26.0,0.009994107583211972
69400,20.0,0.009994107583211972
69600,48.0,0.009994107583211972
